date,polarity_mean,subjectivity_mean
2020-01-21,0.05767361111111111,0.3126388888888889
2020-01-22,0.07187500000000001,0.29833333333333334
2020-01-23,0.01589826839826839,0.18846320346320347
2020-01-24,0.03032455234159778,0.29668244949494943
2020-01-25,0.01972419102321063,0.26319159145139537
2020-01-26,0.03473806947021233,0.3060889077853364
2020-01-27,0.05731030755089515,0.3297181599156442
2020-01-28,0.05127574250993788,0.3381682838234563
2020-01-29,0.039522463245289324,0.3107784975357438
2020-01-30,0.04726354925387662,0.3046702055109794
2020-01-31,0.05455510007033117,0.3050178543639679
2020-02-01,0.0012911492267552878,0.3371042768959436
2020-02-02,0.042334542568542584,0.255579913715914
2020-02-03,0.015529336931696038,0.2892085327783229
2020-02-04,0.10676930798669927,0.3163627423301336
2020-02-05,0.0314625791442118,0.17572838442736405
2020-02-06,0.08186140379536602,0.36250522974579563
2020-02-07,0.06143881416202844,0.32202475434618283
2020-02-08,0.0030711969420985814,0.32408617399601003
2020-02-09,0.14462339380196507,0.43651385254956676
2020-02-10,0.09934007592936166,0.32195166870166875
2020-02-11,0.021436553548622516,0.2924636506533064
2020-02-12,0.11795756810529538,0.34632560453014993
2020-02-13,0.0881513548180215,0.31772005772005774
2020-02-14,0.07707280219780217,0.27098015873015874
2020-02-15,0.09443342151675485,0.36330467372134034
2020-02-16,0.09772073412698414,0.32460813492063495
2020-02-17,0.07182919908191648,0.3771940783652741
2020-02-18,0.06508369828073562,0.3442171970946321
2020-02-19,0.07806265031265032,0.3214637093430198
2020-02-20,0.034228080120937275,0.3629763654432966
2020-02-21,0.09350099340230919,0.31560566748066754
2020-02-22,0.028620296884185763,0.3605171590241035
2020-02-23,0.025684036749928228,0.37157402280464286
2020-02-24,0.04920173135662503,0.3212913160533634
2020-02-25,0.03749605157962903,0.3314658138325419
2020-02-26,0.02933308031558885,0.3266091751046956
2020-02-27,0.04324153761295886,0.35760823648292595
2020-02-28,0.028903047378459477,0.373702062588389
2020-02-29,0.03344593809365683,0.36938572494278915
2020-03-01,0.08200195832223725,0.33676674802080997
2020-03-02,0.11014419495457353,0.37842952317144546
2020-03-03,0.1206506130299551,0.3964366266370862
2020-03-04,0.12344651305996164,0.4045891791145053
2020-03-05,0.07407474633051106,0.3785135170228575
2020-03-06,0.05740217183976557,0.30645513683107367
2020-03-07,0.052066231450115553,0.3308387106161629
2020-03-08,0.030200598702254326,0.3365044112436496
2020-03-09,0.0378289712060169,0.35440516078201006
2020-03-10,0.047497814518178874,0.3391692613709796
2020-03-11,0.05859039186025522,0.3506683313692634
2020-03-17,0.2676996724615772,0.3914060531620055
2020-03-18,0.07867076723165901,0.3380627343657796
2020-03-19,0.07023540657303433,0.3247635282158262
2020-03-20,0.04492493511477558,0.32014404153651194
2020-03-21,0.10859539726822186,0.3758113516327065
2020-03-22,0.035007206402718406,0.32239583634864954
2020-03-23,0.0391475549613246,0.31806491658783187
2020-03-24,0.06995318118480008,0.36126952252818934
2020-03-25,0.0730315721862765,0.36056571452243447
